task,split,hf_subset,GritLM/GritLM-7B(13f00a0e36500c80ce12870ea513846a066004af),intfloat/multilingual-e5-base(d13f1b27baf31030b7fd040960d60d909913633f),intfloat/multilingual-e5-large(4dc6d853a804b9c8886ede6dda8a073b7dc08a81),intfloat/multilingual-e5-large-instruct(baa7be480a7de1539afce709c8f13f833a510e0a),intfloat/multilingual-e5-small(e4ce9877abf3edfe10b0d82785e83bdcb973e22e),sentence-transformers/LaBSE(e34fab64a3011d2176c99545a93d5cbddc9a91b7),sentence-transformers/all-MiniLM-L12-v2(a05860a77cef7b37e0048a7864658139bc18a854),sentence-transformers/all-MiniLM-L12-v2(no_revision_available),sentence-transformers/all-MiniLM-L6-v2(8b3219a92973c328a8e22fadcfa821b5dc75636a),sentence-transformers/all-mpnet-base-v2(84f2bcc00d77236f9e89c8a360a00fb1139bf47d),sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2(bf3bf13ab40c3157080a7ab344c831b9ad18b5eb),sentence-transformers/paraphrase-multilingual-mpnet-base-v2(79f2382ceacceacdf38563d7c5d16b9ff8d725d6)
BibleNLPBitextMining,train,eng_Latn-acu_Latn,,,,,,,1.1,,1.0,0.9,0.6,0.2
BibleNLPBitextMining,train,eng_Latn-adz_Latn,,,,,,,3.3,,2.4,3.8,5.3,4.1
BibleNLPBitextMining,train,eng_Latn-aer_Latn,,,,,,,2.3,,1.7,4.1,3.2,2.0
BibleNLPBitextMining,train,eng_Latn-aey_Latn,,,,,,,2.7,,0.8,0.5,0.7,0.4
BibleNLPBitextMining,train,eng_Latn-agd_Latn,,,,,,,0.1,,0.4,0.3,0.3,0.0
BibleNLPBitextMining,train,eng_Latn-agg_Latn,,,,,,,1.4,,0.1,0.7,1.2,0.4
BibleNLPBitextMining,train,eng_Latn-agm_Latn,,,,,,,0.7,,0.4,1.5,0.4,0.0
BibleNLPBitextMining,train,eng_Latn-agn_Latn,,,,,,,1.7,,1.7,1.8,1.6,1.6
BibleNLPBitextMining,train,eng_Latn-agr_Latn,,,,,,,1.3,,1.1,0.6,2.5,0.8
BibleNLPBitextMining,train,eng_Latn-agt_Latn,,,,,,,2.0,,0.9,0.2,1.7,2.0
BibleNLPBitextMining,train,eng_Latn-agu_Latn,,,,,,,1.5,,0.9,0.1,1.0,1.2
BibleNLPBitextMining,train,eng_Latn-aia_Latn,,,,,,,1.1,,0.1,0.5,1.3,1.6
BibleNLPBitextMining,train,eng_Latn-aii_Syrc,,,,,,,0.3,,0.1,0.0,0.1,0.0
BibleNLPBitextMining,train,eng_Latn-aka_Latn,,,,,,,2.2,,0.6,0.7,1.0,1.7
BibleNLPBitextMining,train,eng_Latn-ake_Latn,,,,,,,0.4,,0.4,0.9,0.2,0.0
BibleNLPBitextMining,train,eng_Latn-alp_Latn,,,,,,,0.5,,1.6,1.8,2.8,2.9
BibleNLPBitextMining,train,eng_Latn-alq_Latn,,,,,,,2.2,,2.3,0.9,0.7,1.3
BibleNLPBitextMining,train,eng_Latn-als_Latn,,,,,,,1.3,,0.4,1.2,18.4,19.3
BibleNLPBitextMining,train,eng_Latn-aly_Latn,,,,,,,2.3,,2.8,3.8,1.8,2.0
BibleNLPBitextMining,train,eng_Latn-ame_Latn,,,,,,,0.5,,0.2,0.9,0.4,1.2
BibleNLPBitextMining,train,eng_Latn-amf_Latn,,,,,,,0.7,,0.0,0.6,0.9,0.4
BibleNLPBitextMining,train,eng_Latn-amk_Latn,,,,,,,1.8,,0.7,1.2,1.6,1.7
BibleNLPBitextMining,train,eng_Latn-amm_Latn,,,,,,,0.0,,0.4,0.1,0.0,0.5
BibleNLPBitextMining,train,eng_Latn-amn_Latn,,,,,,,0.5,,1.1,0.2,0.8,0.8
BibleNLPBitextMining,train,eng_Latn-amo_Latn,,,,,,,1.7,,1.6,1.1,0.8,1.0
BibleNLPBitextMining,train,eng_Latn-amp_Latn,,,,,,,1.0,,0.4,1.5,0.4,0.5
BibleNLPBitextMining,train,eng_Latn-amr_Latn,,,,,,,1.5,,1.7,0.6,0.9,1.6
BibleNLPBitextMining,train,eng_Latn-amu_Latn,,,,,,,1.2,,0.5,0.6,2.0,2.9
BibleNLPBitextMining,train,eng_Latn-amx_Latn,,,,,,,7.2,,7.6,5.8,4.0,6.1
BibleNLPBitextMining,train,eng_Latn-anh_Latn,,,,,,,3.9,,2.4,1.7,2.7,1.0
BibleNLPBitextMining,train,eng_Latn-anv_Latn,,,,,,,1.4,,1.6,0.4,0.4,0.8
BibleNLPBitextMining,train,eng_Latn-aoi_Latn,,,,,,,0.1,,0.0,1.0,0.0,0.5
BibleNLPBitextMining,train,eng_Latn-aoj_Latn,,,,,,,1.8,,0.7,1.0,0.7,0.9
BibleNLPBitextMining,train,eng_Latn-aom_Latn,,,,,,,5.4,,5.8,5.4,3.3,4.0
BibleNLPBitextMining,train,eng_Latn-aon_Latn,,,,,,,1.6,,0.8,0.3,1.4,0.0
BibleNLPBitextMining,train,eng_Latn-apb_Latn,,,,,,,0.2,,0.1,1.3,0.6,0.6
BibleNLPBitextMining,train,eng_Latn-ape_Latn,,,,,,,3.8,,1.9,1.5,0.6,0.1
BibleNLPBitextMining,train,eng_Latn-apn_Latn,,,,,,,0.3,,0.7,0.0,0.4,0.4
BibleNLPBitextMining,train,eng_Latn-apr_Latn,,,,,,,1.0,,1.1,0.6,1.0,1.1
BibleNLPBitextMining,train,eng_Latn-apu_Latn,,,,,,,0.1,,0.5,0.0,0.6,0.4
BibleNLPBitextMining,train,eng_Latn-apw_Latn,,,,,,,4.3,,5.2,3.7,2.1,3.4
BibleNLPBitextMining,train,eng_Latn-apz_Latn,,,,,,,0.9,,0.4,0.7,0.2,0.9
BibleNLPBitextMining,train,eng_Latn-arb_Arab,,,,,,,0.1,,0.0,0.2,1.9,13.9
BibleNLPBitextMining,train,eng_Latn-are_Latn,,,,,,,5.7,,7.4,5.1,2.3,3.9
BibleNLPBitextMining,train,eng_Latn-arl_Latn,,,,,,,1.7,,0.8,0.7,0.4,1.0
BibleNLPBitextMining,train,eng_Latn-arn_Latn,,,,,,,1.5,,0.5,0.3,1.1,1.5
BibleNLPBitextMining,train,eng_Latn-arp_Latn,,,,,,,8.5,,9.1,6.7,6.2,9.7
BibleNLPBitextMining,train,eng_Latn-asm_Beng,,,,,,,0.0,,0.1,0.4,1.7,35.9
BibleNLPBitextMining,train,eng_Latn-aso_Latn,,,,,,,0.3,,0.0,0.5,0.2,0.1
BibleNLPBitextMining,train,eng_Latn-ata_Latn,,,,,,,0.1,,1.1,0.3,1.2,0.5
BibleNLPBitextMining,train,eng_Latn-atb_Latn,,,,,,,0.5,,0.7,0.1,0.1,0.0
BibleNLPBitextMining,train,eng_Latn-atd_Latn,,,,,,,1.2,,0.7,0.6,0.7,0.7
BibleNLPBitextMining,train,eng_Latn-atg_Latn,,,,,,,0.7,,1.1,0.7,1.8,0.7
BibleNLPBitextMining,train,eng_Latn-att_Latn,,,,,,,1.2,,0.9,1.9,0.6,0.8
BibleNLPBitextMining,train,eng_Latn-auc_Latn,,,,,,,0.5,,1.1,0.2,0.3,0.4
BibleNLPBitextMining,train,eng_Latn-aui_Latn,,,,,,,1.9,,1.1,1.9,3.5,2.6
BibleNLPBitextMining,train,eng_Latn-auy_Latn,,,,,,,0.4,,1.0,0.0,0.0,0.0
BibleNLPBitextMining,train,eng_Latn-avt_Latn,,,,,,,2.0,,0.9,1.0,0.8,2.0
BibleNLPBitextMining,train,eng_Latn-awb_Latn,,,,,,,0.8,,0.3,0.8,0.0,0.0
BibleNLPBitextMining,train,eng_Latn-awk_Latn,,,,,,,2.6,,1.0,0.8,3.5,2.4
BibleNLPBitextMining,train,eng_Latn-awx_Latn,,,,,,,9.2,,5.3,5.1,13.3,6.6
BibleNLPBitextMining,train,eng_Latn-azb_Arab,,,,,,,0.6,,0.3,1.2,26.2,81.9
BibleNLPBitextMining,train,eng_Latn-azg_Latn,,,,,,,2.4,,0.7,1.1,0.7,3.0
BibleNLPBitextMining,train,eng_Latn-azz_Latn,,,,,,,1.0,,0.8,1.1,1.3,1.7
BibleNLPBitextMining,train,eng_Latn-bao_Latn,,,,,,,2.0,,0.6,0.9,1.9,1.6
BibleNLPBitextMining,train,eng_Latn-bba_Latn,,,,,,,0.9,,0.7,0.6,0.8,1.4
BibleNLPBitextMining,train,eng_Latn-bbb_Latn,,,,,,,0.5,,0.1,0.5,0.1,0.1
BibleNLPBitextMining,train,eng_Latn-bbr_Latn,,,,,,,1.0,,1.1,0.2,2.0,1.2
BibleNLPBitextMining,train,eng_Latn-bch_Latn,,,,,,,1.2,,1.6,2.1,1.7,1.1
BibleNLPBitextMining,train,eng_Latn-bco_Latn,,,,,,,2.2,,0.7,0.2,0.1,0.4
BibleNLPBitextMining,train,eng_Latn-bdd_Latn,,,,,,,1.0,,0.9,1.9,0.5,0.0
BibleNLPBitextMining,train,eng_Latn-bea_Latn,,,,,,,6.3,,5.3,4.3,3.4,1.6
BibleNLPBitextMining,train,eng_Latn-bef_Latn,,,,,,,0.4,,0.2,0.7,0.6,0.0
BibleNLPBitextMining,train,eng_Latn-bel_Cyrl,,,,,,,0.3,,0.0,0.3,50.1,85.8
BibleNLPBitextMining,train,eng_Latn-ben_Beng,,,,,,,0.1,,0.2,0.4,2.8,69.7
BibleNLPBitextMining,train,eng_Latn-beo_Latn,,,,,,,0.8,,1.3,0.3,1.2,0.7
BibleNLPBitextMining,train,eng_Latn-beu_Latn,,,,,,,1.5,,2.0,0.6,1.9,3.0
BibleNLPBitextMining,train,eng_Latn-bgs_Latn,,,,,,,0.8,,1.7,0.7,2.0,1.5
BibleNLPBitextMining,train,eng_Latn-bgt_Latn,,,,,,,2.1,,1.0,1.5,0.8,1.0
BibleNLPBitextMining,train,eng_Latn-bhg_Latn,,,,,,,3.9,,4.3,2.5,3.6,1.5
BibleNLPBitextMining,train,eng_Latn-bhl_Latn,,,,,,,0.7,,1.0,0.5,0.7,0.0
BibleNLPBitextMining,train,eng_Latn-big_Latn,,,,,,,0.1,,0.0,0.3,0.1,0.0
BibleNLPBitextMining,train,eng_Latn-bjk_Latn,,,,,,,2.3,,1.1,0.8,1.8,1.2
BibleNLPBitextMining,train,eng_Latn-bjp_Latn,,,,,,,1.0,,1.1,0.2,2.8,0.9
BibleNLPBitextMining,train,eng_Latn-bjr_Latn,,,,,,,0.2,,0.0,0.0,0.0,0.5
BibleNLPBitextMining,train,eng_Latn-bjv_Latn,,,,,,,1.0,,0.5,0.6,0.5,0.6
BibleNLPBitextMining,train,eng_Latn-bjz_Latn,,,,,,,1.7,,0.4,1.1,1.0,1.7
BibleNLPBitextMining,train,eng_Latn-bkd_Latn,,,,,,,1.8,,0.9,0.7,1.1,0.6
BibleNLPBitextMining,train,eng_Latn-bki_Latn,,,,,,,0.9,,0.5,0.9,0.6,0.7
BibleNLPBitextMining,train,eng_Latn-bkq_Latn,,,,,,,1.3,,1.2,0.7,1.5,1.8
BibleNLPBitextMining,train,eng_Latn-bkx_Latn,,,,,,,0.6,,2.6,2.6,0.3,2.3
BibleNLPBitextMining,train,eng_Latn-blw_Latn,,,,,,,0.8,,0.6,0.2,0.8,0.8
BibleNLPBitextMining,train,eng_Latn-blz_Latn,,,,,,,1.9,,1.9,0.4,3.1,3.3
BibleNLPBitextMining,train,eng_Latn-bmh_Latn,,,,,,,1.8,,0.4,1.7,2.0,0.5
BibleNLPBitextMining,train,eng_Latn-bmk_Latn,,,,,,,3.3,,4.0,3.7,4.7,3.5
BibleNLPBitextMining,train,eng_Latn-bmr_Latn,,,,,,,0.8,,0.7,0.3,0.7,0.4
BibleNLPBitextMining,train,eng_Latn-bmu_Latn,,,,,,,0.6,,1.0,0.9,0.4,1.1
BibleNLPBitextMining,train,eng_Latn-bnp_Latn,,,,,,,2.0,,3.3,0.6,2.9,4.3
BibleNLPBitextMining,train,eng_Latn-boa_Latn,,,,,,,1.9,,1.2,0.2,0.1,0.5
BibleNLPBitextMining,train,eng_Latn-boj_Latn,,,,,,,2.1,,1.1,0.1,0.0,1.4
BibleNLPBitextMining,train,eng_Latn-bon_Latn,,,,,,,0.8,,1.2,1.3,1.3,0.8
BibleNLPBitextMining,train,eng_Latn-box_Latn,,,,,,,0.8,,0.3,0.3,0.4,0.7
BibleNLPBitextMining,train,eng_Latn-bpr_Latn,,,,,,,0.6,,1.0,0.3,0.9,0.5
BibleNLPBitextMining,train,eng_Latn-bps_Latn,,,,,,,1.3,,1.4,0.2,1.0,0.6
BibleNLPBitextMining,train,eng_Latn-bqc_Latn,,,,,,,0.9,,0.2,0.9,0.6,0.1
BibleNLPBitextMining,train,eng_Latn-bqp_Latn,,,,,,,0.2,,0.8,0.3,1.2,0.0
BibleNLPBitextMining,train,eng_Latn-bre_Latn,,,,,,,1.8,,1.7,2.6,4.3,5.8
BibleNLPBitextMining,train,eng_Latn-bsj_Latn,,,,,,,1.1,,0.9,1.5,1.3,0.8
BibleNLPBitextMining,train,eng_Latn-bsn_Latn,,,,,,,0.3,,0.5,0.5,1.3,1.2
BibleNLPBitextMining,train,eng_Latn-bsp_Latn,,,,,,,1.9,,1.7,2.6,1.6,3.5
BibleNLPBitextMining,train,eng_Latn-bss_Latn,,,,,,,0.6,,0.8,0.3,0.9,0.5
BibleNLPBitextMining,train,eng_Latn-buk_Latn,,,,,,,1.2,,0.5,1.0,0.5,0.9
BibleNLPBitextMining,train,eng_Latn-bus_Latn,,,,,,,0.5,,0.9,0.6,0.9,0.5
BibleNLPBitextMining,train,eng_Latn-bvd_Latn,,,,,,,0.8,,0.3,0.8,0.9,0.3
BibleNLPBitextMining,train,eng_Latn-bvr_Latn,,,,,,,3.0,,3.1,3.5,0.1,1.1
BibleNLPBitextMining,train,eng_Latn-bxh_Latn,,,,,,,1.4,,1.1,1.1,1.6,1.0
BibleNLPBitextMining,train,eng_Latn-byr_Latn,,,,,,,0.0,,0.0,0.2,0.4,0.4
BibleNLPBitextMining,train,eng_Latn-byx_Latn,,,,,,,1.3,,1.3,0.6,0.9,1.8
BibleNLPBitextMining,train,eng_Latn-bzd_Latn,,,,,,,1.6,,0.6,1.7,0.7,1.7
BibleNLPBitextMining,train,eng_Latn-bzh_Latn,,,,,,,1.5,,1.1,1.6,0.4,0.8
BibleNLPBitextMining,train,eng_Latn-bzj_Latn,,,,,,,6.1,,4.9,4.0,0.9,1.7
BibleNLPBitextMining,train,eng_Latn-caa_Latn,,,,,,,0.9,,0.8,0.6,4.1,3.0
BibleNLPBitextMining,train,eng_Latn-cab_Latn,,,,,,,2.3,,1.2,1.8,1.8,1.1
BibleNLPBitextMining,train,eng_Latn-cac_Latn,,,,,,,1.1,,1.1,1.4,1.0,1.9
BibleNLPBitextMining,train,eng_Latn-caf_Latn,,,,,,,5.0,,4.7,3.9,2.6,2.9
BibleNLPBitextMining,train,eng_Latn-cak_Latn,,,,,,,0.7,,1.2,0.9,3.7,2.5
BibleNLPBitextMining,train,eng_Latn-cao_Latn,,,,,,,1.1,,1.3,0.6,1.6,1.6
BibleNLPBitextMining,train,eng_Latn-cap_Latn,,,,,,,1.1,,1.2,0.9,1.3,1.1
BibleNLPBitextMining,train,eng_Latn-car_Latn,,,,,,,2.0,,1.3,1.0,1.3,0.9
BibleNLPBitextMining,train,eng_Latn-cav_Latn,,,,,,,0.4,,0.8,1.2,0.9,1.0
BibleNLPBitextMining,train,eng_Latn-cax_Latn,,,,,,,0.6,,0.6,0.5,1.8,1.7
BibleNLPBitextMining,train,eng_Latn-cbc_Latn,,,,,,,1.2,,0.3,1.1,1.4,1.7
BibleNLPBitextMining,train,eng_Latn-cbi_Latn,,,,,,,1.9,,1.0,0.7,0.5,2.0
BibleNLPBitextMining,train,eng_Latn-cbk_Latn,,,,,,,6.2,,4.1,6.2,49.5,60.4
BibleNLPBitextMining,train,eng_Latn-cbr_Latn,,,,,,,0.4,,0.7,0.9,1.2,1.3
BibleNLPBitextMining,train,eng_Latn-cbs_Latn,,,,,,,1.2,,1.4,2.2,1.7,1.3
BibleNLPBitextMining,train,eng_Latn-cbt_Latn,,,,,,,0.7,,0.1,0.0,0.2,0.2
BibleNLPBitextMining,train,eng_Latn-cbu_Latn,,,,,,,0.7,,0.4,0.4,0.6,0.0
BibleNLPBitextMining,train,eng_Latn-cbv_Latn,,,,,,,1.8,,1.5,1.5,1.8,1.8
BibleNLPBitextMining,train,eng_Latn-cco_Latn,,,,,,,0.6,,0.6,1.1,0.3,1.4
BibleNLPBitextMining,train,eng_Latn-ceb_Latn,,,,,,,2.5,,2.1,1.1,2.2,2.3
BibleNLPBitextMining,train,eng_Latn-cek_Latn,,,,,,,2.8,,2.5,0.6,1.8,0.8
BibleNLPBitextMining,train,eng_Latn-ces_Latn,,,,,,,1.9,,1.4,0.4,96.9,97.4
BibleNLPBitextMining,train,eng_Latn-cgc_Latn,,,,,,,2.4,,1.5,1.4,2.1,1.7
BibleNLPBitextMining,train,eng_Latn-cha_Latn,,,,,,,4.5,,2.9,1.5,5.7,7.7
BibleNLPBitextMining,train,eng_Latn-chd_Latn,,,,,,,1.5,,0.7,0.7,0.8,1.6
BibleNLPBitextMining,train,eng_Latn-chf_Latn,,,,,,,0.9,,1.0,0.7,1.3,1.6
BibleNLPBitextMining,train,eng_Latn-chk_Latn,,,,,,,1.8,,0.6,0.4,1.3,0.6
BibleNLPBitextMining,train,eng_Latn-chq_Latn,,,,,,,1.3,,2.0,1.0,1.5,1.8
BibleNLPBitextMining,train,eng_Latn-chz_Latn,,,,,,,1.5,,2.6,1.4,1.7,2.1
BibleNLPBitextMining,train,eng_Latn-cjo_Latn,,,,,,,0.0,,0.0,0.7,0.0,0.1
BibleNLPBitextMining,train,eng_Latn-cjv_Latn,,,,,,,0.9,,0.9,0.1,0.2,0.7
BibleNLPBitextMining,train,eng_Latn-ckb_Arab,,,,,,,0.2,,0.3,0.6,68.0,60.7
BibleNLPBitextMining,train,eng_Latn-cle_Latn,,,,,,,1.5,,1.6,0.7,0.0,0.5
BibleNLPBitextMining,train,eng_Latn-clu_Latn,,,,,,,2.0,,0.9,2.1,1.2,2.2
BibleNLPBitextMining,train,eng_Latn-cme_Latn,,,,,,,0.9,,0.5,0.6,0.6,0.7
BibleNLPBitextMining,train,eng_Latn-cmn_Hans,,,,,,,7.0,,8.0,9.4,96.4,96.9
BibleNLPBitextMining,train,eng_Latn-cni_Latn,,,,,,,0.0,,0.1,0.0,0.4,0.4
BibleNLPBitextMining,train,eng_Latn-cnl_Latn,,,,,,,1.3,,0.0,0.7,1.0,1.0
BibleNLPBitextMining,train,eng_Latn-cnt_Latn,,,,,,,0.3,,0.3,0.2,0.3,0.4
BibleNLPBitextMining,train,eng_Latn-cof_Latn,,,,,,,0.4,,0.5,0.5,1.0,0.8
BibleNLPBitextMining,train,eng_Latn-con_Latn,,,,,,,2.0,,0.7,0.9,0.5,1.0
BibleNLPBitextMining,train,eng_Latn-cop_Copt,,,,,,,0.1,,0.0,0.0,0.0,0.0
BibleNLPBitextMining,train,eng_Latn-cot_Latn,,,,,,,0.6,,0.2,0.0,0.8,0.6
BibleNLPBitextMining,train,eng_Latn-cpa_Latn,,,,,,,1.5,,2.2,0.8,1.0,0.5
BibleNLPBitextMining,train,eng_Latn-cpb_Latn,,,,,,,0.9,,1.1,1.1,1.1,2.2
BibleNLPBitextMining,train,eng_Latn-cpc_Latn,,,,,,,0.9,,1.8,0.9,0.5,1.3
BibleNLPBitextMining,train,eng_Latn-cpu_Latn,,,,,,,1.4,,1.1,0.4,1.5,2.2
BibleNLPBitextMining,train,eng_Latn-cpy_Latn,,,,,,,1.0,,1.3,0.5,0.4,1.0
BibleNLPBitextMining,train,eng_Latn-crn_Latn,,,,,,,1.2,,1.1,1.0,1.5,2.2
BibleNLPBitextMining,train,eng_Latn-crx_Latn,,,,,,,3.7,,4.5,2.7,3.5,2.9
BibleNLPBitextMining,train,eng_Latn-cso_Latn,,,,,,,1.1,,1.1,0.5,0.0,0.7
BibleNLPBitextMining,train,eng_Latn-csy_Latn,,,,,,,3.3,,3.6,3.1,2.4,1.2
BibleNLPBitextMining,train,eng_Latn-cta_Latn,,,,,,,1.5,,0.8,0.4,1.0,2.6
BibleNLPBitextMining,train,eng_Latn-cth_Latn,,,,,,,1.4,,1.1,0.6,1.0,0.8
BibleNLPBitextMining,train,eng_Latn-ctp_Latn,,,,,,,2.1,,1.2,0.6,0.7,1.9
BibleNLPBitextMining,train,eng_Latn-ctu_Latn,,,,,,,1.7,,0.8,1.4,1.1,1.8
BibleNLPBitextMining,train,eng_Latn-cub_Latn,,,,,,,0.6,,1.3,0.3,1.2,2.2
BibleNLPBitextMining,train,eng_Latn-cuc_Latn,,,,,,,1.0,,1.6,0.7,0.0,1.2
BibleNLPBitextMining,train,eng_Latn-cui_Latn,,,,,,,0.3,,1.1,0.1,0.2,0.4
BibleNLPBitextMining,train,eng_Latn-cuk_Latn,,,,,,,0.5,,1.1,0.4,0.7,1.1
BibleNLPBitextMining,train,eng_Latn-cut_Latn,,,,,,,0.8,,0.8,0.2,0.2,1.2
BibleNLPBitextMining,train,eng_Latn-cux_Latn,,,,,,,1.2,,0.6,0.4,1.6,1.4
BibleNLPBitextMining,train,eng_Latn-cwe_Latn,,,,,,,0.8,,0.1,0.7,0.6,0.9
BibleNLPBitextMining,train,eng_Latn-cya_Latn,,,,,,,1.9,,1.7,0.4,1.1,2.1
BibleNLPBitextMining,train,eng_Latn-daa_Latn,,,,,,,0.5,,1.0,0.4,0.4,0.8
BibleNLPBitextMining,train,eng_Latn-dad_Latn,,,,,,,1.2,,1.1,1.0,1.8,0.9
BibleNLPBitextMining,train,eng_Latn-dah_Latn,,,,,,,0.5,,0.8,0.3,0.3,1.1
BibleNLPBitextMining,train,eng_Latn-dan_Latn,,,,,,,5.2,,2.9,2.8,92.1,96.1
BibleNLPBitextMining,train,eng_Latn-ded_Latn,,,,,,,1.3,,0.5,0.0,0.7,0.4
BibleNLPBitextMining,train,eng_Latn-deu_Latn,,,,,,,5.8,,5.2,6.5,96.4,96.9
BibleNLPBitextMining,train,eng_Latn-dgc_Latn,,,,,,,1.4,,1.2,1.2,0.9,1.8
BibleNLPBitextMining,train,eng_Latn-dgr_Latn,,,,,,,2.2,,3.1,2.7,1.9,4.6
BibleNLPBitextMining,train,eng_Latn-dgz_Latn,,,,,,,0.1,,0.2,0.6,0.3,0.3
BibleNLPBitextMining,train,eng_Latn-dhg_Latn,,,,,,,0.3,,0.5,1.0,0.7,0.0
BibleNLPBitextMining,train,eng_Latn-dif_Latn,,,,,,,1.8,,2.0,1.9,1.4,1.2
BibleNLPBitextMining,train,eng_Latn-dik_Latn,,,,,,,0.5,,0.4,1.6,0.2,2.3
BibleNLPBitextMining,train,eng_Latn-dji_Latn,,,,,,,3.2,,2.8,3.4,4.0,3.5
BibleNLPBitextMining,train,eng_Latn-djk_Latn,,,,,,,1.3,,1.4,1.2,1.3,1.6
BibleNLPBitextMining,train,eng_Latn-djr_Latn,,,,,,,0.7,,1.1,0.4,0.1,0.5
BibleNLPBitextMining,train,eng_Latn-dob_Latn,,,,,,,0.6,,1.0,2.1,0.8,0.9
BibleNLPBitextMining,train,eng_Latn-dop_Latn,,,,,,,0.3,,0.0,0.2,0.7,0.0
BibleNLPBitextMining,train,eng_Latn-dov_Latn,,,,,,,1.3,,0.3,1.7,0.1,0.7
BibleNLPBitextMining,train,eng_Latn-dwr_Latn,,,,,,,0.9,,0.5,0.3,0.3,0.1
BibleNLPBitextMining,train,eng_Latn-dww_Latn,,,,,,,0.9,,0.5,1.6,0.7,0.1
BibleNLPBitextMining,train,eng_Latn-dwy_Latn,,,,,,,3.4,,3.4,4.3,1.5,1.8
BibleNLPBitextMining,train,eng_Latn-ebk_Latn,,,,,,,2.1,,2.8,1.8,0.9,1.3
BibleNLPBitextMining,train,eng_Latn-eko_Latn,,,,,,,0.9,,0.1,0.9,1.2,0.8
BibleNLPBitextMining,train,eng_Latn-emi_Latn,,,,,,,1.9,,0.6,1.0,1.6,1.5
BibleNLPBitextMining,train,eng_Latn-emp_Latn,,,,,,,0.7,,0.6,1.3,1.1,1.7
BibleNLPBitextMining,train,eng_Latn-enq_Latn,,,,,,,0.3,,0.9,0.6,0.0,0.1
BibleNLPBitextMining,train,eng_Latn-epo_Latn,,,,,,,5.8,,5.2,2.6,21.4,43.5
BibleNLPBitextMining,train,eng_Latn-eri_Latn,,,,,,,1.0,,0.9,0.5,0.8,1.0
BibleNLPBitextMining,train,eng_Latn-ese_Latn,,,,,,,0.2,,0.4,0.0,0.2,0.0
BibleNLPBitextMining,train,eng_Latn-esk_Latn,,,,,,,3.6,,4.3,5.6,3.6,4.3
BibleNLPBitextMining,train,eng_Latn-etr_Latn,,,,,,,0.6,,0.7,0.6,0.5,0.9
BibleNLPBitextMining,train,eng_Latn-ewe_Latn,,,,,,,2.5,,1.0,0.7,0.4,2.7
BibleNLPBitextMining,train,eng_Latn-faa_Latn,,,,,,,0.6,,0.8,0.6,0.9,0.2
BibleNLPBitextMining,train,eng_Latn-fai_Latn,,,,,,,0.5,,1.1,0.7,0.2,0.3
BibleNLPBitextMining,train,eng_Latn-far_Latn,,,,,,,2.8,,2.8,1.6,0.8,2.1
BibleNLPBitextMining,train,eng_Latn-ffm_Latn,,,,,,,1.5,,0.6,1.3,1.5,0.7
BibleNLPBitextMining,train,eng_Latn-for_Latn,,,,,,,0.2,,0.5,0.6,0.2,0.3
BibleNLPBitextMining,train,eng_Latn-fra_Latn,,,,,,,20.5,,14.9,19.1,97.4,97.4
BibleNLPBitextMining,train,eng_Latn-fue_Latn,,,,,,,3.3,,2.5,1.4,1.9,1.6
BibleNLPBitextMining,train,eng_Latn-fuf_Latn,,,,,,,0.7,,0.1,1.3,1.4,0.6
BibleNLPBitextMining,train,eng_Latn-fuh_Latn,,,,,,,1.2,,0.5,1.2,1.1,1.6
BibleNLPBitextMining,train,eng_Latn-gah_Latn,,,,,,,0.3,,0.5,0.6,1.5,0.0
BibleNLPBitextMining,train,eng_Latn-gai_Latn,,,,,,,0.4,,0.6,0.1,0.9,0.2
BibleNLPBitextMining,train,eng_Latn-gam_Latn,,,,,,,1.2,,1.9,1.4,0.8,1.8
BibleNLPBitextMining,train,eng_Latn-gaw_Latn,,,,,,,0.8,,0.7,0.8,1.4,1.0
BibleNLPBitextMining,train,eng_Latn-gdn_Latn,,,,,,,0.9,,0.1,0.8,0.4,0.8
BibleNLPBitextMining,train,eng_Latn-gdr_Latn,,,,,,,1.1,,0.6,0.5,0.7,0.5
BibleNLPBitextMining,train,eng_Latn-geb_Latn,,,,,,,1.6,,0.3,1.0,0.9,0.3
BibleNLPBitextMining,train,eng_Latn-gfk_Latn,,,,,,,0.5,,0.7,0.5,1.3,0.5
BibleNLPBitextMining,train,eng_Latn-ghs_Latn,,,,,,,0.0,,0.1,0.3,0.4,0.1
BibleNLPBitextMining,train,eng_Latn-glk_Arab,,,,,,,0.6,,0.0,0.7,60.5,76.0
BibleNLPBitextMining,train,eng_Latn-gmv_Latn,,,,,,,1.0,,0.5,0.5,1.1,0.9
BibleNLPBitextMining,train,eng_Latn-gng_Latn,,,,,,,0.7,,1.1,0.8,0.2,0.8
BibleNLPBitextMining,train,eng_Latn-gnn_Latn,,,,,,,0.1,,0.2,0.5,0.1,0.2
BibleNLPBitextMining,train,eng_Latn-gnw_Latn,,,,,,,1.0,,1.1,0.6,2.6,1.5
BibleNLPBitextMining,train,eng_Latn-gof_Latn,,,,,,,1.0,,0.8,0.0,0.7,0.9
BibleNLPBitextMining,train,eng_Latn-grc_Grek,,,,,,,0.2,,0.1,0.3,8.3,59.9
BibleNLPBitextMining,train,eng_Latn-gub_Latn,,,,,,,1.0,,0.5,0.6,1.0,0.3
